faculty_full_name,year_id,num_external_grants
Jennifer Donglan Wu,2016,
Jennifer Donglan Wu,2017,
Jennifer Donglan Wu,2018,
Jennifer Donglan Wu,2019,
Jennifer Donglan Wu,2020,
Jennifer Donglan Wu,2021,
Jennifer Donglan Wu,2022,
Jennifer Donglan Wu,2023,
Jeremy D. Collins,2011,
Jeremy D. Collins,2012,
Jeremy D. Collins,2013,
Jeremy D. Collins,2014,
Jeremy D. Collins,2015,
Jeremy D. Collins,2016,
Jeremy D. Collins,2017,
Jeremy D. Collins,2018,
Jeremy D. Collins,2019,
Jeremy D. Collins,2020,
Jeremy D. Collins,2021,
Jill A. Weissberg Benchell,2013,
Jill A. Weissberg Benchell,2014,
Jill A. Weissberg Benchell,2015,
Jill A. Weissberg Benchell,2016,
Jill A. Weissberg Benchell,2017,
Jill A. Weissberg Benchell,2018,
Jill A. Weissberg Benchell,2019,
Jill A. Weissberg Benchell,2020,
Jill A. Weissberg Benchell,2021,
Jill A. Weissberg Benchell,2022,
Jill A. Weissberg Benchell,2023,
Jill A. Weissberg Benchell,2024,
Jill Hibishman Samis,2011,
Jill Hibishman Samis,2012,
Jill Hibishman Samis,2013,
Jill Hibishman Samis,2014,
Jill Hibishman Samis,2015,
Jill Hibishman Samis,2016,
Jill Hibishman Samis,2017,
Jill Hibishman Samis,2018,
Jill Hibishman Samis,2019,
Jill Hibishman Samis,2020,
Jill Hibishman Samis,2021,
Jill L. Chang,2013,
Jill L. Chang,2014,
Jill L. Chang,2015,
Jill L. Chang,2016,
Jill L. Chang,2017,
Jill L. Chang,2018,
Jill L. Chang,2019,
Jill L. Chang,2020,
Jill L. Chang,2021,
Jill L. Chang,2022,
Jill L. Chang,2023,
Jordan Henry Grafman,2011,
Jordan Henry Grafman,2012,
Jordan Henry Grafman,2013,
Jordan Henry Grafman,2014,
Jordan Henry Grafman,2015,
Jordan Henry Grafman,2016,
Jordan Henry Grafman,2017,
Jordan Henry Grafman,2018,
Jordan Henry Grafman,2019,
Jordan Henry Grafman,2020,
Jordan Henry Grafman,2021,
Joshua N. Leonard,2012,
Joshua N. Leonard,2013,
Joshua N. Leonard,2014,
Joshua N. Leonard,2015,
Joshua N. Leonard,2016,
Joshua N. Leonard,2017,
Joshua N. Leonard,2018,
Joshua N. Leonard,2019,
Joshua N. Leonard,2020,
Joshua N. Leonard,2021,
Joshua N. Leonard,2022,
Karen K. Mestan,2011,
Karen K. Mestan,2012,
Karen K. Mestan,2013,
Karen K. Mestan,2014,
Karen K. Mestan,2015,
Karen K. Mestan,2016,
Karen K. Mestan,2017,
Karen K. Mestan,2018,
Karen K. Mestan,2019,
Karen K. Mestan,2020,
Karen K. Mestan,2021,
Karla J. F. Satchell,2013,
Karla J. F. Satchell,2014,
Karla J. F. Satchell,2015,
Karla J. F. Satchell,2016,
Karla J. F. Satchell,2017,
Karla J. F. Satchell,2018,
Karla J. F. Satchell,2019,
Karla J. F. Satchell,2020,
Karla J. F. Satchell,2021,
Karla J. F. Satchell,2022,
Karla J. F. Satchell,2023,
Karna Murthy,2013,
Karna Murthy,2014,
Karna Murthy,2015,
Karna Murthy,2016,
Karna Murthy,2017,
Karna Murthy,2018,
Karna Murthy,2019,
Karna Murthy,2020,
Karna Murthy,2021,
Karna Murthy,2022,
Karna Murthy,2023,
Kate Poropatich,2011,
Kate Poropatich,2012,
Kate Poropatich,2013,
Kate Poropatich,2014,
Kate Poropatich,2015,
Kate Poropatich,2016,
Kate Poropatich,2017,
Kate Poropatich,2018,
Kate Poropatich,2019,
Kate Poropatich,2020,
Kate Poropatich,2021,
Kavitha Selvaraj,2012,
Kavitha Selvaraj,2013,
Kavitha Selvaraj,2014,
Kavitha Selvaraj,2015,
Kavitha Selvaraj,2016,
Kavitha Selvaraj,2017,
Kavitha Selvaraj,2018,
Kavitha Selvaraj,2019,
Kavitha Selvaraj,2020,
Kavitha Selvaraj,2021,
Kavitha Selvaraj,2022,
Kazuhiro Shimomura,2013,
Kazuhiro Shimomura,2014,
Kazuhiro Shimomura,2015,
Kazuhiro Shimomura,2016,
Kazuhiro Shimomura,2017,
Kazuhiro Shimomura,2018,
Kazuhiro Shimomura,2019,
Kazuhiro Shimomura,2020,
Kazuhiro Shimomura,2021,
Kazuhiro Shimomura,2022,
Kazuhiro Shimomura,2023,
Kehinde U. A. Adekola,2011,
Kehinde U. A. Adekola,2012,
Kehinde U. A. Adekola,2013,
Kehinde U. A. Adekola,2014,
Kehinde U. A. Adekola,2015,
Kehinde U. A. Adekola,2016,
Kehinde U. A. Adekola,2017,
Kehinde U. A. Adekola,2018,
Kehinde U. A. Adekola,2019,
Kehinde U. A. Adekola,2020,
Kehinde U. A. Adekola,2021,
Keith Edward Gordon,2014,
Keith Edward Gordon,2015,
Keith Edward Gordon,2016,
Keith Edward Gordon,2017,
Keith Edward Gordon,2018,
Keith Edward Gordon,2019,
Keith Edward Gordon,2020,
Keith Edward Gordon,2021,
Keith Edward Gordon,2022,
Keith Edward Gordon,2023,
Keith Edward Gordon,2024,
Kelly N. Michelson,2010,
Kelly N. Michelson,2011,
Kelly N. Michelson,2012,
Kelly N. Michelson,2013,
Kelly N. Michelson,2014,
Kelly N. Michelson,2015,
Kelly N. Michelson,2016,
Kelly N. Michelson,2017,
Kelly N. Michelson,2018,
Kelly N. Michelson,2019,
Kelly N. Michelson,2020,
Ken A. Paller,2013,
Ken A. Paller,2014,
Ken A. Paller,2015,
Ken A. Paller,2016,
Ken A. Paller,2017,
Ken A. Paller,2018,
Ken A. Paller,2019,
Ken A. Paller,2020,
Ken A. Paller,2021,
Ken A. Paller,2022,
Ken A. Paller,2023,
Khalilah Latrece Gates,2011,
Khalilah Latrece Gates,2012,
Khalilah Latrece Gates,2013,
Khalilah Latrece Gates,2014,
Khalilah Latrece Gates,2015,
Khalilah Latrece Gates,2016,
Khalilah Latrece Gates,2017,
Khalilah Latrece Gates,2018,
Khalilah Latrece Gates,2019,
Khalilah Latrece Gates,2020,
Khalilah Latrece Gates,2021,
Kirsten Marie Simonton,2012,
Kirsten Marie Simonton,2013,
Kirsten Marie Simonton,2014,
Kirsten Marie Simonton,2015,
Kirsten Marie Simonton,2016,
Kirsten Marie Simonton,2017,
Kirsten Marie Simonton,2018,
Kirsten Marie Simonton,2019,
Kirsten Marie Simonton,2020,
Kirsten Marie Simonton,2021,
Kirsten Marie Simonton,2022,
Lifang Hou,2011,
Lifang Hou,2012,
Lifang Hou,2013,
Lifang Hou,2014,
Lifang Hou,2015,
Lifang Hou,2016,
Lifang Hou,2017,
Lifang Hou,2018,
Lifang Hou,2019,
Lifang Hou,2020,
Lifang Hou,2021,
Linda Van Van Horn,2011,
Linda Van Van Horn,2012,
Linda Van Van Horn,2013,
Linda Van Van Horn,2014,
Linda Van Van Horn,2015,
Linda Van Van Horn,2016,
Linda Van Van Horn,2017,
Linda Van Van Horn,2018,
Linda Van Van Horn,2019,
Linda Van Van Horn,2020,
Linda Van Van Horn,2021,
Lisa Beth VanWagner,2011,
Lisa Beth VanWagner,2012,
Lisa Beth VanWagner,2013,
Lisa Beth VanWagner,2014,
Lisa Beth VanWagner,2015,
Lisa Beth VanWagner,2016,
Lisa Beth VanWagner,2017,
Lisa Beth VanWagner,2018,
Lisa Beth VanWagner,2019,
Lisa Beth VanWagner,2020,
Lisa Beth VanWagner,2021,
Lynn M. Yee,2010,
Lynn M. Yee,2011,
Lynn M. Yee,2012,
Lynn M. Yee,2013,
Lynn M. Yee,2014,
Lynn M. Yee,2015,
Lynn M. Yee,2016,
Lynn M. Yee,2017,
Lynn M. Yee,2018,
Lynn M. Yee,2019,
Lynn M. Yee,2020,
Lynn M. Yee,2021,
Marc Brian Rosenman,2013,
Marc Brian Rosenman,2014,
Marc Brian Rosenman,2015,
Marc Brian Rosenman,2016,
Marc Brian Rosenman,2017,
Marc Brian Rosenman,2018,
Marc Brian Rosenman,2019,
Marc Brian Rosenman,2020,
Marc Brian Rosenman,2021,
Marc Brian Rosenman,2022,
Marc Brian Rosenman,2023,
Marc H. Scheetz,2009,
Marc H. Scheetz,2010,
